info_type_id,movie_id,info,title,production_year
3,3214177,Western,"Vier fÃ¼r Texas",1991
3,3217158,Western,"7 Colts for 7 Bandits",1967
3,3327315,Western,"Grausame KÃ¼ste",1935
3,3300492,Western,"Django and Sartana Are Coming... It's the End",1970
3,3355179,Western,"Stringi i denti e vai!",1975
3,3320509,Western,"Bad Day at Black Rock",1955
3,3280476,Western,"An American Tail II",1991
3,3248139,Western,Hardin,2013
3,3324321,Western,"Rocco - der EinzelgÃ¤nger von Alamo",1967
3,3205892,Western,"15 Scaffolds for a Murderer",1968
3,3352366,Western,"Bobby and His Pal",1911
3,3280476,Western,"Fievel conquista il West",1991
3,3331842,Western,"Buffalo Bill, der tollkÃ¼hne Reiter 1.Teil",1931
3,3257752,Western,"Love and Blood",1968
3,3274381,Western,"Il bandito della Sierra Morena",1962
3,3217215,Western,"Seven Dollars to Kill",1966
3,3229156,Western,"The Brand of Death",1913
3,3052034,Western,"Der KopfgeldjÃ¤ger",1979
3,3215322,Western,"5 Card Stud",1968
3,3241576,Western,"Texas Romance - 1909",1964
3,3248863,Western,"Sei giÃ  cadavere Amigo... ti cerca Garringo",1971
3,3287108,Western,"The Gun",1947
3,3329160,Western,Barquero,1970
3,3298927,Western,"Rough Riders",1941
3,3279332,Western,"China 9, Liberty 37",1978
3,3284834,Western,"Auch Djangos Kopf hat seinen Preis",1999
3,3229088,Western,"Tod und Teufel",1931
3,3294157,Western,Glass,1975
3,3232045,Western,"Gli ostaggi",1955
3,3222557,Western,Sharpshooter,2011
3,3213832,Western,"Quel treno per Yuma",2007
3,3360355,Western,Skyfire,1922
3,3297773,Western,"Serpente a sonagli",1977
3,3248140,Western,Abilene,1946
3,3347991,Western,"Der weiÃŸe Apache - Die Rache des Halbbluts",2007
3,3325656,Western,Bandito,1956
3,3294177,Western,"La vendetta degli Apache",1965
3,3272123,Western,"Ein Held aus Liebe",1954
3,3217284,Western,"Johnny Black",1968
3,3290823,Western,"Anna prendi il fucile",1951
3,3294182,Western,"La meticcia di fuoco",1955
3,3214450,Western,"40 fucili al Passo Apache",1967
3,3359518,Western,"Blackthorn. Sin destino",2011
3,3205892,Western,"Quince horcas para un asesino",1968
3,3212234,Western,"Drei Kugeln fÃ¼r Ringo",1970
3,3216424,Western,"Â¡Seis Balas al Infierno!",2013
3,3266744,Western,"Dan Candy's Law",1974
3,3214450,Western,"Gewehre zum Apachen-PaÃŸ",1967
3,3232112,Western,"Der Einsame aus dem Westen",1970
3,3346317,Western,"Beyond the Seven Seas",1945
3,3294171,Western,"Tamburi ad ovest",1964
3,3254573,Western,"La diligenza di Silverado",1948
3,3217289,Western,"Der Siebente ist dran",1956
3,3213094,Western,"30 Winchesters for El Diablo",1967
3,3237869,Western,"Tom Mix in A Roman Cowboy",1919
3,3204255,Western,"La muerte cumple condena",1966
3,3217352,Western,"Das Todeslied",1968
3,3215360,Western,"Five Dollars for Ringo",1966
3,3201540,Western,"Die Nordwest Passage",1955
3,3298971,Western,"Arizona Lets Fly and Kill Everybody",1970
3,3287107,Western,"L'ultima conquista",2009
3,3248810,Western,"Abraham Lincoln VampirjÃ¤ger",2012
3,3217352,Western,"Adios, hombre",1968
3,3205435,Western,"Assedio all'ultimo sangue",1960
3,3239926,Western,"A Southern Yankee",1948
3,3352658,Western,"Billy and the Vampire",1987
3,3325765,Western,Bandolero!,1968
3,3214450,Western,"40 Guns to Apache Pass",1967
3,3230495,Western,"The Leap Year Cowboy",1912
3,3226273,Western,"Hell's Neck",1919
3,3202442,Western,"On the Third Day Arrived the Crow",1973
3,3217425,Western,"7 Winchester per un massacro",1967
3,3230065,Western,"Silent Sentence",1974
3,3352651,Western,"Gore Vidal's Billy the Kid",1989
3,3300617,Western,"Adobe Walls",1953
3,3308353,Western,"The Wild Man of the Diamond S Ranch",1915
3,3220023,Western,"Big Deal at Dodge City",1966
3,3205892,Western,"The Dirty Fifteen",1977
3,3285526,Western,"Dead Men Ride",1971
3,3230341,Western,Cheyenne,1943
